name,code,lead_broker,cap_raise_price,raise_amt,due_date,0 days effective_return,0 days normal_return,30 days effective_return,30 days normal_return,60 days effective_return,60 days normal_return,90 days effective_return,90 days normal_return
Vulcan Energy Resources Limited,VUL,Merrill Lynch + Canaccord Genuity,5.1,109M,04/05/2023 14:00,,0.98,,-26.08,,-16.08,,-13.33
H&G High Conviction Limited,HCF,Morgans Corporate,1.04,3M,04/05/2023 16:00,,-3.85,,-10.58,,-3.85,,-5.77
4DMedical Limited,4DX,Bell Potter,0.91,10M,05/05/2023 16:00,40.83,23.08,-3.31,-8.24,-12.18,-15.38,-24.86,-26.37
Marvel Gold Limited,MVL,Canaccord Genuity + Bridge Street,0.012,1.5-2M,05/05/2023 14:00,,8.33,,0.0,,8.33,,0.0
Group 6 Metals Limited,G6M,Canaccord Genuity +  Ord Minnett,0.14,27M,05/05/2023 15:00,N/A,N/A,2.69,-7.14,12.7,0.0,-7.88,-14.29
Victory Metals Limited,VTM,Canaccord Genuity,0.24,2M,08/05/2023 17:00,12.14,8.33,-4.98,-6.25,6.25,4.17,3.38,2.08
Savannah Goldfields Limited,SVG,Bizzell Capital + Melbourne Capital,0.15,5M,10/05/2023 15:00,8.77,0.0,-0.34,-6.67,-24.54,-26.67,-55.84,-56.0
SensOre Limited,S3N,Bell Potter ,0.25,0.5-1M,09/05/2023 15:00,23.08,6.0,45.91,20.0,-0.94,-10.0,34.5,14.0
PYC Therapeutics Limited,PYC,E&P Corporate,0.055,30M,10/05/2023 12:00,,16.36,,0.0,,18.18,,1.82
Voltaic Strategic Resources Limited - Tranche 2,VSR,RM Corporate,0.05,5M,11/05/2023 11:00,48.79,22.0,315.92,110.0,103.8,50.0,-31.33,-34.0
Podium Minerals Limited,POD,Canaccord Genuity + Bell Potter,0.072,3M,11/05/2023 12:00,,-1.39,,-6.94,,-4.17,,-25.0
Pivotal Metals Limited,PVT,Viriathus Capital,0.0325,6.85M,12/05/2023 15:00,35.41,23.08,-34.73,-35.38,-28.31,-29.23,-34.86,-35.38
