key,name,cap,document_date,url,header,cash_flow,dollar_sign,average volume,EMA traded dollar amount,points
BTE,BOTALA ENERGY LTD,13618959,2023-04-28T15:42:42+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p52r9rgckcm0.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2700000.0,$A,42507,4255.339283936966,2
OKR,OKAPI RESOURCES LIMITED,23135752,2023-04-28T16:29:02+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p599ywgb6t9q.pdf,Quarterly Cashflow Report,2695000.0,$A,470480,63172.8315950749,6
BIM,BINDI METALS LIMITED,5643000,2023-04-28T01:28:52+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p328g4w4vvmp.pdf,Quarterly Activities and Cashflow Reports,2683000.0,$A,103503,20180.063954480676,4
WAK,WA KAOLIN LIMITED,54847435,2023-04-24T09:03:06+1000,https://announcements.asx.com.au/asxpdf/20230424/pdf/45nxvm9npvdptv.pdf,March 2023 Quarterly Activities Report and Appendix 5B,2676000.0,$A,98780,13071.210822369674,3
BMR,BALLYMORE RESOURCES LIMITED,19736631,2023-04-28T12:38:25+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p4hmp34k1fnd.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2675000.0,$A,75775,9257.563902182817,2
QXR,QX RESOURCES LIMITED,31390181,2023-04-28T17:03:32+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p5h49nm4t1q9.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2653000.0,$A,1573532,51464.078334431884,5
TAS,TASMAN RESOURCES LTD,4988685,2023-04-27T20:33:13+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p2v41q2gcxqd.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2649000.0,$A,510608,4236.099325316952,2
EIQ,ECHOIQ LIMITED,82386788,2023-04-28T15:03:45+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p4yffy58sd83.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,2648000.0,$A,1263100,298398.51834859466,9
AMN,AGRIMIN LIMITED,57670497,2023-04-26T08:14:21+1000,https://announcements.asx.com.au/asxpdf/20230426/pdf/45nzcll4l1ckzk.pdf,Appendix 5B Cash Flow Report,2632000.0,$A,78999,15819.038821563325,3
RB6,RUBIX RESOURCES LIMITED,8388000,2023-04-28T12:20:05+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p4g60styxgmt.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2619000.0,$A,964404,186836.1710108983,8
IMB,INTELLIGENT MONITORING GROUP LIMITED,26140059,2023-04-28T08:01:06+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p35s2yv6ys00.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,2612000.0,$A,225165,55067.67638960356,5
HRE,HEAVY RARE EARTHS LIMITED,6417864,2023-04-27T13:45:11+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p25d8v1s97t3.pdf,HRE March 2023 Quarterly Activities Report & Appendix 5B,2605000.0,$A,126029,16685.774673750053,3
POD,PODIUM MINERALS LIMITED,22953205,2023-04-26T22:44:03+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p0w4m4m85rxw.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2593000.0,$A,308059,22080.392857183655,4
EPX,EP&T GLOBAL LIMITED,8918274,2023-04-28T08:46:45+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p3dqg5zt9g3x.pdf,Quarterly Appendix 4C,2591000.0,$A,745377,27071.89341178554,5
RNT,RENT.COM.AU LIMITED,12841355,2023-04-28T15:11:05+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p4z9n3zxm176.pdf,Quarterly Activity Report and Appendix 4C,2581000.0,$A,300674,6470.972806569507,2
AKN,AUKING MINING LIMITED,11225704,2023-04-28T07:22:43+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p34jvy52nrvh.pdf,Quarterly Cashflow Report,2578000.0,$A,271552,13672.41704575366,3
SRN,SUREFIRE RESOURCES NL,24770452,2023-04-27T10:20:04+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p1wj44sx6g2n.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2577000.0,$A,3958188,66598.37830976103,6
