key,name,cap,document_date,url,header,cash,cash_unit,debt,debt_unit
WGR,WESTERN GOLD RESOURCES LIMITED.,3988160,2023-07-27,https://announcements.asx.com.au/asxpdf/20230727/pdf/05s13p50cp3qn3.pdf,Quarterly Activities and Cash Flow Reports,659,$A’000,-,$A’000
CPO,CULPEO MINERALS LIMITED,4030512,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4759r70263t.pdf,Quarterly Cashflow Report,335,$A’000,331,$A’000
LVE,LOVE GROUP GLOBAL LTD,4053417,2023-07-16,https://announcements.asx.com.au/asxpdf/20230717/pdf/05rp92csv3ks54.pdf,Quarterly Update and Appendix 4C,"2,092",$A’000,-,$A’000
OPL,OPYL LIMITED,4103808,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s52vpf6kfpqc.pdf,Opyl - Business Update & Appendix 4C,452,$A’000,Unused,$A’000
HT8,HARRIS TECHNOLOGY GROUP LIMITED,4187897,2023-07-23,https://announcements.asx.com.au/asxpdf/20230724/pdf/05rwk474vrqw0w.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"1,766",$A’000,"2,252",$A’000
AVW,AVIRA RESOURCES LTD,4267580,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rz5mhs8jbgfb.pdf,Quarterly Activities Report and Appendix 5B,"1,030",$A’000,-,$A’000
AAP,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,4271393,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s54lsxvft9rd.pdf,Quarterly Update and Appendix 4C - June 2023,229,$A’000,"6,809",$A’000
NFL,NORFOLK METALS LIMITED,4290000,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s27bry2rmy7d.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"3,210",$A’000,-,$A’000
AIV,ACTIVEX LIMITED,4310052,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s23l1bp1t811.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,680,$A’000,"2,156",$A’000
TG1,TECHGEN METALS LTD,4321424,2023-07-27,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1ksnz40rpzr.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,613",$A’000,-,$A’000
PHL,PROPELL HOLDINGS LIMITED,4332799,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s20ysydgndst.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,646,$A’000,"5,284",$A’000
EMU,EMU NL,4350064,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5n17kch0ynv.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,147",$A’000,-,$A’000
FAU,FIRST AU LIMITED,4355980,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s24z095d1fgy.pdf,Quarterly Activities and Cash Flow Reports,745,$A’000,-,$A’000
CMO,COSMO METALS LIMITED,4356488,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3z1g46104g4.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,612,$A’000,-,$A’000
IEQ,INTERNATIONAL EQUITIES CORPORATION LIMITED.,4359602,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5df14vkmwp8.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"1,536",$A’000,"19,274",$A’000
TYM,TYMLEZ GROUP LIMITED,4368781,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s44rs7hflm49.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,468,$A’000,80,$A’000
SQX,SQX RESOURCES LIMITED,4375000,2023-07-24,https://announcements.asx.com.au/asxpdf/20230724/pdf/05rwnswwnc28xs.pdf,Quarterly Activities and Cashflow Reports,"2,966",$A’000,-,$A’000
GCR,GOLDEN CROSS RESOURCES LTD,4389024,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2t7779p7n6g.pdf,Quarterly Activates Report and Appendix 5B,55,$A’000,"5,144",$A’000
VAR,VARISCAN MINES LIMITED,4394047,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4z4jnrtt8h0.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,016",$A’000,-,$A’000
NMR,NATIVE MINERAL RESOURCES HOLDINGS LIMITED,4408946,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rz2kcwg90985.pdf,Appendix 5B Cashflow Report,306,$A’000,Unused,$A’000
NRX,NORONEX LIMITED,4412678,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5gr9kv6y7vm.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,393,$A’000,-,$A’000
CT1,CONSTELLATION TECHNOLOGIES LIMITED,4413601,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s25gx3qsxm2j.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"1,097",$A’000,-,$A’000
CRB,CARBINE RESOURCES LIMITED,4413902,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5l9bb8jgqxc.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,643",$A’000,-,$A’000
CRS,CAPRICE RESOURCES LTD,4436763,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5bkcycm3kr0.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,686,$A’000,20,$A’000
ALB,ALBION RESOURCES LIMITED,4438133,2023-07-27,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1hbm2frq1wz.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"3,240",$A’000,Unused,$A’000
WSR,WESTAR RESOURCES LIMITED,4448580,2023-07-30,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3qc4pq2ysfz.pdf,Quarterly Appendix 5B Cash Flow Report,"2,773",$A’000,Unused,$A’000
EMS,EASTERN METALS LIMITED,4451017,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4w6nqmn6tg9.pdf,Quarterly Activities and Cash Flow Reports June 2023,"2,357",$A’000,-,$A’000
RLC,REEDY LAGOON CORPORATION LIMITED,4533757,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rz85sngrbln2.pdf,June 2023 Quarterly Activities and Cash Flow repot,207,$A’000,-,$A’000
SKN,SKIN ELEMENTS LIMITED,4555889,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s62lygwq58t0.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,358,$A'000,-,$A'000
APS,ALLUP SILICA LIMITED,4648142,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2j9x4crk0c4.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"3,179",$A’000,-,$A’000
AOA,AUSMON RESOURCES LIMITED,4651152,2023-07-25,https://announcements.asx.com.au/asxpdf/20230725/pdf/05rydsj1cf3lp4.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,78,$A’000,-,$A’000
BOA,BOADICEA RESOURCES LIMITED,4677431,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2ffcn15kmrg.pdf,Jun23 Appendix 5B,"1,482",$A’000,Unused,$A’000
M24,MAMBA EXPLORATION LIMITED,4695717,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3tv250g2q01.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,745,$A’000,-,$A’000
UVA,UVRE LIMITED,4703500,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rz8tx0bvsqbk.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"3,731",$A’000,-,$A’000
PKO,PEAKO LIMITED,4707315,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s26jvp9qw6wp.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,601,$A’000,-,$A’000
KAL,KALGOORLIE GOLD MINING LIMITED,4723022,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4yjqqlng9j7.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,455",$A’000,Unused,$A’000
SLZ,SULTAN RESOURCES LTD,4742082,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2s23dq9fqtk.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,346",$A’000,-,$A’000
SRI,SIPA RESOURCES LIMITED,4791321,2023-07-27,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1hnp5v7vlxj.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,857",$A’000,-,$A’000
SIS,SIMBLE SOLUTIONS LIMITED,4823606,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4gzb3xpf13g.pdf,Appendix 4C and Quarterly Activities Report,982,$A’000,91,$A’000
