key,name,cap,document_date,url,header,cash_flow,dollar_sign,debt_flow
CRB,CARBINE RESOURCES LIMITED,4413902,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5l9bb8jgqxc.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1643000.0,$A,0.0
CRS,CAPRICE RESOURCES LTD,4436763,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5bkcycm3kr0.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,686000.0,$A,20000.0
ALB,ALBION RESOURCES LIMITED,4438133,2023-07-27,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1hbm2frq1wz.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,3240000.0,$A,check
WSR,WESTAR RESOURCES LIMITED,4448580,2023-07-30,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3qc4pq2ysfz.pdf,Quarterly Appendix 5B Cash Flow Report,2773000.0,$A,check
EMS,EASTERN METALS LIMITED,4451017,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4w6nqmn6tg9.pdf,Quarterly Activities and Cash Flow Reports June 2023,2357000.0,$A,0.0
RLC,REEDY LAGOON CORPORATION LIMITED,4533757,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rz85sngrbln2.pdf,June 2023 Quarterly Activities and Cash Flow repot,207000.0,$A,0.0
SKN,SKIN ELEMENTS LIMITED,4555889,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s62lygwq58t0.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,358000.0,$A,0.0
APS,ALLUP SILICA LIMITED,4648142,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2j9x4crk0c4.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,3179000.0,$A,0.0
AOA,AUSMON RESOURCES LIMITED,4651152,2023-07-25,https://announcements.asx.com.au/asxpdf/20230725/pdf/05rydsj1cf3lp4.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,78000.0,$A,0.0
BOA,BOADICEA RESOURCES LIMITED,4677431,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2ffcn15kmrg.pdf,Jun23 Appendix 5B,1482000.0,$A,check
M24,MAMBA EXPLORATION LIMITED,4695717,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3tv250g2q01.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,745000.0,$A,0.0
UVA,UVRE LIMITED,4703500,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rz8tx0bvsqbk.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,3731000.0,$A,0.0
